org_id,org_name,t_reg,t_emp,t_emp_active,t_uid_verify,t_uid_reject
9,Ministry of Civil Aviation,152,200,146,147,0
10,Ministry of Coal,153,141,130,130,0
21,Ministry of Corporate Affairs (MCA),368,371,351,352,1
22,Ministry of Culture,350,340,335,335,0
23,Ministry of Defence (MOD),962,1050,776,922,2
28,Ministry of Development of North Eastern Region (MDONER),107,90,97,100,0
29,Ministry of Drinking Water and Sanitation (MDWS),173,188,164,164,0
30,Ministry of Earth Sciences,216,260,3,211,1
31,Ministry of Environment and Forests (MOEF),924,850,879,880,0
32,Ministry of External Affairs (MEA),2015,2150,1929,1946,1
48,Ministry of Home Affairs (MHA),1418,1800,1357,1357,9
97,Ministry of Housing and Urban Poverty Alleviation (MHUPA),75,75,73,73,0
55,Ministry of Human Resource Development (MHRD),910,946,878,879,3
58,Ministry of Information and Broadcasting (MIB),568,510,532,542,8
59,Ministry of Labour and Employment,797,750,743,766,2
121,Ministry of Micro Small and Medium Enterprises (MSME),108,110,99,105,0
65,Ministry of Mines,162,159,144,151,0
66,Ministry of Minority Affairs (MOMA),151,165,143,143,0
67,Ministry of New and Renewable Energy (MNRE),251,250,238,238,0
68,Ministry of Overseas Indian Affairs (MOIA),94,95,77,90,0
69,Ministry of Panchayati Raj,151,170,144,144,0
70,Ministry of Parliamentary Affairs (MPA),98,112,93,93,0
75,Ministry of Petroleum and Natural Gas,228,230,219,219,0
77,Ministry of Power,248,285,237,237,0
78,Ministry of Railways,3,3000,0,2,0
79,Ministry of Road Transport and Highways (MORTH),607,700,533,574,2
87,Ministry of Shipping,210,215,194,198,0
91,Ministry of Statistics and Programme Implementation (MOSPI),621,575,594,594,0
92,Ministry of Steel,193,200,182,184,1
93,Ministry of Textiles,165,150,135,141,0
94,Ministry of Tourism,150,169,145,145,0
95,Ministry of Tribal Affairs,96,122,76,92,0
96,Ministry of Urban Development (MOUD),463,775,380,441,3
98,"Ministry of Water Resources, River Development & Ganga Rejuvenation (MOWR)",533,460,501,507,3
99,Ministry of Women and Child Development (WCD),223,225,43,217,2
100,Ministry of Youth Affairs and Sports,208,192,197,199,0
122,MOD Finance,251,277,126,228,1
194,National Buildings Organisation - MHUPA,26,25,22,26,0
172,National Commission for Scheduled Tribes (NCST) -Ministry of Tribal Affairs,51,46,50,50,0
139,National Disaster Management Authority (NDMA) . MHA,86,201,83,83,0
109,National Informatics Centre (NIC) -DeitY,1868,1500,1142,1761,2
134,National Informatics Centre Serives Incorporated (NICSI) - DeitY,183,198,157,157,0
178,National Institute of Labour Economics Research & Development (NILERD) - PC,23,121,0,0,0
138,National Institute of Public Cooperation and Child Development (NIPCCD) -WCD,120,280,0,116,1
190,National Investigation Agency (NIA) - MHA,139,328,6,6,85
177,National Rainfed Area Authority (NRAA)-Planning Commission,37,53,0,37,0
152,National Rural Livelihood Promotion Society (NRLPS) - Ministry of Rural Developm,50,68,0,48,0
127,National Sample Survey Office (FOD) RO Delhi-MoSPI,65,70,64,64,0
126,National Sample Survey Office (FOD)-MoSPI,152,155,151,151,0
128,National Sample Survey Office Data Processing Centre-MoSPI,56,60,56,56,0
150,Office of Development Commissioner (Handlooms)-Ministry of Textiles,82,100,82,82,0
163,Office of Development Commissioner-MSME,242,261,234,235,0
132,Office of the JS(Trg) and CAO-MOD,832,700,504,817,2
143,Ordnance Factory Board-MOD,38,36,38,38,0
186,OS Directorate (Army) - MOD,63,600,0,62,0
129,Photo Division-Information & Broadcasting,33,48,33,33,0
108,Planning Commission,1037,1050,988,988,0
144,Press Information Bureau (PIB) -Information & Broadcasting,261,400,255,255,0
191,Principal Accounts Office - MOWR,5,52,0,4,1
117,Publication Division-Information & Broadcasting,211,270,198,202,2
169,Registrar of Newspapers for India-Information & Broadcasting,60,80,60,60,0
157,Serious Fraud Investigation Office (SFIO)-MCA,56,60,4,55,0
133,Unique Identification Authority of India (UIDAI) - Planning Commission,328,316,306,306,0
192,Upper Yamuna River Board - (MOWR),9,10,0,9,0
